NAICS Code,Kind of Business,2020,2019r,2018r,2017r,2016r,2015r,2014r,2013r,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,Building mat. and garden equip. and supplies dealers ………………………………………...…………………………………………………………………………………………………,"422,211","373,321","367,655","349,365","337,699","323,979","313,527","299,578","281,533","269,480","260,566","261,637","301,833","320,854","334,130","320,802","295,274","263,463","248,539","239,379","228,994","218,290","202,423","191,063","176,683","164,561","157,228","140,964","130,989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4441,Building mat. and supplies dealers ………………………………………...…………………………………………………………………………………………………,"368,503","327,257","322,681","305,471","294,954","281,279","270,148","257,726","242,176","232,649","225,712","227,474","263,082","283,847","299,382","286,604","261,200","230,971","217,184","207,020","197,649","187,916","172,201","162,068","150,453","141,028","135,099","120,426","110,315",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44412,Paint and wallpaper stores ………………………………………...…………………………………………………………………………………………………,"13,743","12,642","12,208","11,536","10,974","10,605","10,233","9,419","9,134","8,423","7,972","7,956","9,415","10,166","10,332","9,842","8,880","8,478","8,096","8,589","8,863","8,713","8,513","7,691","7,038","6,455","5,751","5,153","4,714",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44413,Hardware stores ………………………………………...…………………………………………………………………………………………………,"35,393","29,360","28,059","25,891","24,463","23,719","23,002","21,229","20,747","20,041","18,706","18,667","20,072","20,509","19,983","18,881","18,300","17,674","16,962","16,539","16,179","15,586","14,965","13,952","13,907","13,718","13,778","13,000","12,670",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Food and beverage stores ………………………………………...…………………………………………………………………………………………………,"850,215","775,014","749,867","728,843","702,020","687,375","670,473","641,515","628,205","609,137","580,530","568,418","569,276","547,837","525,232","508,484","490,380","474,385","464,856","462,429","444,764","433,699","416,525","409,373","401,073","390,386","384,340","374,516","370,513",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4451,Grocery stores ………………………………………...…………………………………………………………………………………………………,"759,748","694,370","671,329","653,178","627,871","616,086","601,498","575,476","563,645","547,476","520,750","510,033","511,222","491,360","471,699","457,667","441,136","427,987","419,813","418,127","402,515","394,250","378,188","372,570","365,547","356,409","350,523","341,318","337,370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44511,Supermarkets and other grocery (except convenience) stores …………………………………………………………,"728,863","661,915","640,235","624,972","600,946","590,715","575,675","549,986","539,180","523,371","498,006","489,028","488,540","468,364","448,692","435,523","418,805","406,274","397,272","396,538","381,441","375,401","359,920","354,112","346,947","337,784","331,708","322,511","318,277",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4452,Specialty food stores ……………………………………………………………………………………………………………………..…………,"24,157","23,662","23,449","23,043","22,896","22,133","21,580","20,392","20,195","19,269","18,379","18,140","18,550","18,349","17,517","17,250","17,055","15,929","15,149","14,681","13,742","12,973","12,955","12,722","12,369","11,970","11,716","11,660","11,456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4453,"Beer, wine, and liquor stores ………………………………………...…………………………………………………………………………………………………","66,310","56,982","55,089","52,622","51,253","49,156","47,395","45,647","44,365","42,392","41,401","40,245","39,504","38,128","36,016","33,567","32,189","30,469","29,894","29,621","28,507","26,476","25,382","24,081","23,157","22,007","22,101","21,538","21,687",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,Health and personal care stores ………………………………………...…………………………………………………………………………………………………,"351,257","344,045","337,799","323,866","318,928","307,891","294,566","279,551","274,000","271,612","260,435","252,794","246,573","237,164","223,336","210,085","199,290","192,426","179,983","166,533","155,234","142,699","129,583","118,672","109,557","101,635","96,363","92,594","89,705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
