"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"544","141","8600000US01346","ZCTA5 01346"
"139","120","8600000US01347","ZCTA5 01347"
"1267","230","8600000US01349","ZCTA5 01349"
"100","57","8600000US01350","ZCTA5 01350"
"2577","426","8600000US01351","ZCTA5 01351"
"1732","212","8600000US01354","ZCTA5 01354"
"981","175","8600000US01355","ZCTA5 01355"
"2973","19","8600000US01360","ZCTA5 01360"
"7721","41","8600000US01364","ZCTA5 01364"
"1155","134","8600000US01366","ZCTA5 01366"
"519","78","8600000US01367","ZCTA5 01367"
"1451","304","8600000US01368","ZCTA5 01368"
"3727","245","8600000US01370","ZCTA5 01370"
"4866","326","8600000US01373","ZCTA5 01373"
"3643","17","8600000US01375","ZCTA5 01375"
"4630","426","8600000US01376","ZCTA5 01376"
"738","111","8600000US01378","ZCTA5 01378"
"835","135","8600000US01379","ZCTA5 01379"
"40576","48","8600000US01420","ZCTA5 01420"
"6320","39","8600000US01430","ZCTA5 01430"
"3211","21","8600000US01431","ZCTA5 01431"
"7760","226","8600000US01432","ZCTA5 01432"
"2007","422","8600000US01434","ZCTA5 01434"
"3538","807","8600000US01436","ZCTA5 01436"
"512","353","8600000US01438","ZCTA5 01438"
"20605","44","8600000US01440","ZCTA5 01440"
"11322","30","8600000US01450","ZCTA5 01450"
"4576","386","8600000US01451","ZCTA5 01451"
"4758","35","8600000US01452","ZCTA5 01452"
"41654","66","8600000US01453","ZCTA5 01453"
"10152","31","8600000US01460","ZCTA5 01460"
"11530","25","8600000US01462","ZCTA5 01462"
"12113","22","8600000US01463","ZCTA5 01463"
"7616","18","8600000US01464","ZCTA5 01464"
"407","263","8600000US01467","ZCTA5 01467"
"4065","710","8600000US01468","ZCTA5 01468"
"7812","305","8600000US01469","ZCTA5 01469"
"7874","32","8600000US01473","ZCTA5 01473"
"1685","306","8600000US01474","ZCTA5 01474"
"10831","30","8600000US01475","ZCTA5 01475"
"16627","63","8600000US01501","ZCTA5 01501"
"3312","43","8600000US01503","ZCTA5 01503"
"9249","29","8600000US01504","ZCTA5 01504"
"4666","25","8600000US01505","ZCTA5 01505"
"3439","15","8600000US01506","ZCTA5 01506"
"13610","23","8600000US01507","ZCTA5 01507"
"13940","35","8600000US01510","ZCTA5 01510"
"2157","237","8600000US01515","ZCTA5 01515"
"9168","366","8600000US01516","ZCTA5 01516"
"3606","460","8600000US01518","ZCTA5 01518"
"7566","747","8600000US01519","ZCTA5 01519"
"16059","447","8600000US01520","ZCTA5 01520"
"2492","279","8600000US01521","ZCTA5 01521"
"3069","449","8600000US01522","ZCTA5 01522"
"7809","184","8600000US01523","ZCTA5 01523"
"6778","691","8600000US01524","ZCTA5 01524"
"309","186","8600000US01525","ZCTA5 01525"
"13822","21","8600000US01527","ZCTA5 01527"
"3249","17","8600000US01529","ZCTA5 01529"
"1155","157","8600000US01531","ZCTA5 01531"
"15047","33","8600000US01532","ZCTA5 01532"
"5885","814","8600000US01534","ZCTA5 01534"
"4774","34","8600000US01535","ZCTA5 01535"
"7030","646","8600000US01536","ZCTA5 01536"
"2244","675","8600000US01537","ZCTA5 01537"
"11679","683","8600000US01540","ZCTA5 01540"
"3466","16","8600000US01541","ZCTA5 01541"
"2544","576","8600000US01542","ZCTA5 01542"
"8799","25","8600000US01543","ZCTA5 01543"
"37683","70","8600000US01545","ZCTA5 01545"
"16865","38","8600000US01550","ZCTA5 01550"
"4467","439","8600000US01560","ZCTA5 01560"
"102","169","8600000US01561","ZCTA5 01561"
"11942","41","8600000US01562","ZCTA5 01562"
"8130","21","8600000US01564","ZCTA5 01564"
"5953","463","8600000US01566","ZCTA5 01566"
"7968","23","8600000US01568","ZCTA5 01568"
"13901","372","8600000US01569","ZCTA5 01569"
"16934","26","8600000US01570","ZCTA5 01570"
"11699","20","8600000US01571","ZCTA5 01571"
"19035","57","8600000US01581","ZCTA5 01581"
"7752","119","8600000US01583","ZCTA5 01583"
"4601","450","8600000US01585","ZCTA5 01585"
"10439","804","8600000US01588","ZCTA5 01588"
"9458","81","8600000US01590","ZCTA5 01590"
"24363","1629","8600000US01602","ZCTA5 01602"
"18612","1546","8600000US01603","ZCTA5 01603"
"37633","2008","8600000US01604","ZCTA5 01604"
"27587","1652","8600000US01605","ZCTA5 01605"
"20060","1277","8600000US01606","ZCTA5 01606"
"8410","1055","8600000US01607","ZCTA5 01607"
"4910","909","8600000US01608","ZCTA5 01608"
"21780","1484","8600000US01609","ZCTA5 01609"
"22152","1393","8600000US01610","ZCTA5 01610"
"2036","491","8600000US01611","ZCTA5 01611"
"4961","25","8600000US01612","ZCTA5 01612"
"33742","1474","8600000US01701","ZCTA5 01701"
"39163","1470","8600000US01702","ZCTA5 01702"
"709","408","8600000US01718","ZCTA5 01718"
"5677","23","8600000US01719","ZCTA5 01719"
"22914","411","8600000US01720","ZCTA5 01720"
"17787","25","8600000US01721","ZCTA5 01721"
"14072","45","8600000US01730","ZCTA5 01730"
"2119","510","8600000US01731","ZCTA5 01731"
"5356","21","8600000US01740","ZCTA5 01740"
"5232","21","8600000US01741","ZCTA5 01741"
"18927","69","8600000US01742","ZCTA5 01742"
"600","253","8600000US01745","ZCTA5 01745"
"14792","24","8600000US01746","ZCTA5 01746"
"5956","23","8600000US01747","ZCTA5 01747"
"18030","27","8600000US01748","ZCTA5 01748"
"19863","23","8600000US01749","ZCTA5 01749"
"39663","33","8600000US01752","ZCTA5 01752"
"10900","20","8600000US01754","ZCTA5 01754"
"6146","27","8600000US01756","ZCTA5 01756"
"28936","31","8600000US01757","ZCTA5 01757"
"35770","108","8600000US01760","ZCTA5 01760"
"4324","32","8600000US01770","ZCTA5 01770"
"9551","255","8600000US01772","ZCTA5 01772"
"4847","500","8600000US01773","ZCTA5 01773"
"7159","20","8600000US01775","ZCTA5 01775"
"19248","42","8600000US01776","ZCTA5 01776"
"14038","98","8600000US01778","ZCTA5 01778"
"40297","43","8600000US01801","ZCTA5 01801"
"28077","26","8600000US01803","ZCTA5 01803"
"36098","26","8600000US01810","ZCTA5 01810"
"32936","1004","8600000US01821","ZCTA5 01821"
"25762","1012","8600000US01824","ZCTA5 01824"
"31389","92","8600000US01826","ZCTA5 01826"
"3374","41","8600000US01827","ZCTA5 01827"
"26225","1140","8600000US01830","ZCTA5 01830"
"23736","1204","8600000US01832","ZCTA5 01832"
"8733","23","8600000US01833","ZCTA5 01833"
"6815","18","8600000US01834","ZCTA5 01834"
"13822","874","8600000US01835","ZCTA5 01835"
"5416","649","8600000US01840","ZCTA5 01840"
"49437","1537","8600000US01841","ZCTA5 01841"
"25170","1439","8600000US01843","ZCTA5 01843"
"50517","36","8600000US01844","ZCTA5 01844"
"31262","26","8600000US01845","ZCTA5 01845"
"15950","1496","8600000US01850","ZCTA5 01850"
"31558","1663","8600000US01851","ZCTA5 01851"
"35033","1433","8600000US01852","ZCTA5 01852"
"28770","1203","8600000US01854","ZCTA5 01854"
"6926","23","8600000US01860","ZCTA5 01860"
"10519","1009","8600000US01862","ZCTA5 01862"
"9477","1012","8600000US01863","ZCTA5 01863"
"15672","26","8600000US01864","ZCTA5 01864"
"25236","23","8600000US01867","ZCTA5 01867"
"30973","118","8600000US01876","ZCTA5 01876"
"12511","97","8600000US01879","ZCTA5 01879"
"26704","126","8600000US01880","ZCTA5 01880"
"24566","21","8600000US01886","ZCTA5 01886"
"23390","39","8600000US01887","ZCTA5 01887"
"22760","29","8600000US01890","ZCTA5 01890"
"2370","504","8600000US01901","ZCTA5 01901"
"49472","1577","8600000US01902","ZCTA5 01902"
"17928","1518","8600000US01904","ZCTA5 01904"
"24369","1445","8600000US01905","ZCTA5 01905"
"28334","48","8600000US01906","ZCTA5 01906"
"15468","192","8600000US01907","ZCTA5 01907"
"3512","24","8600000US01908","ZCTA5 01908"
"17474","28","8600000US01913","ZCTA5 01913"
"42062","24","8600000US01915","ZCTA5 01915"
"8316","25","8600000US01921","ZCTA5 01921"
