"SAPCE2 Per capita personal consumption expenditures (PCE) by major type of product 1/"
"Per capita personal consumption expenditures (PCE) by state (Dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"55000","Wisconsin",19571,20609,21870,23284,24176,24992,26239,27642,28967,30316,31297,32080,31567,32505,33664,34150,34865,35895,36747,37807,39132,40970,41987,40963
"56000","Wyoming",19131,20362,21754,23182,24086,24841,26250,28003,29929,32043,33960,34788,33135,34008,35556,36673,37430,38675,39262,39441,40628,42055,42817,42016
"91000","New England",23673,25063,26604,28433,29701,30757,32380,34237,36143,37809,39071,40049,39305,40381,41569,42376,43223,44693,45975,47221,48814,50665,52191,50154
"92000","Mideast",21509,22691,24075,25732,26773,27734,29195,30859,32684,34334,35835,36872,36291,37447,38727,39657,40547,41984,43146,44348,45950,48271,49994,47957
"93000","Great Lakes",19916,20911,22065,23461,24250,24968,25991,27234,28537,29644,30732,31426,30866,31866,33055,33956,34714,35912,36882,37991,39372,41082,42179,41153
"94000","Plains",20169,21129,22386,23824,24717,25489,26638,28000,29261,30384,31561,32510,31954,32894,34205,35080,35745,36766,37507,38317,39621,41185,42189,40966
"95000","Southeast",19331,20191,21286,22569,23280,23898,24912,26278,27761,29197,30286,30720,29922,30804,31868,32579,33232,34379,35299,36194,37365,38977,40176,39324
"96000","Southwest",18899,19843,20891,22225,23032,23516,24389,25588,27139,28342,29477,30090,29344,30227,31413,32267,33043,34284,35046,35810,36986,38548,39596,38799
"97000","Rocky Mountain",19860,20800,22041,23565,24319,24865,25840,27242,28667,30100,31434,31956,30860,31432,32465,33231,34124,35441,36638,37836,39392,41114,42556,42024
"98000","Far West",20916,21896,23172,24774,25559,26329,27479,29071,30842,32551,34165,34867,33535,34354,35512,36573,37390,38782,40145,41553,43489,45746,47710,45788
"Legend / Footnotes:"
"1/ Per capita PCE estimates are in current dollars, and reflect Census Bureau midyear population estimates for years 2010-2020 available as of December 2020. These population estimates are based on the 2010 census. BEA will incorporate Census Bureau midyear population estimates based on the 2020 census results when they become available. Per capita values are computed from unrounded data."
"Last updated: October 8, 2021-- new statistics for 2020; revised statistics for 1997-2019."
